No.,Features,Page/Section/Area,Functionality,Developer Testing (Passing/Failing),End-User Testing (Passing/Failing),Description,Comments (Progress/Problems/Blockers)
64,Sales Administration,Purchase Control panel,View list of the purchase ,,,,
65,Sales Administration,Purchase Control panel,Apply filters,,,,
66,Sales Administration,Purchase Control panel,View the details of the created purchases,,,,
67,Sales Administration,Purchase Control panel,Add metadata for a purchase,,,,
68,Sales Administration,Purchase Control panel,Create student users in a purchase,,,,
69,Sales Administration,Purchase Control panel,Link student user to a purchase,,,,
70,Sales Administration,Purchase Control panel,Create parent user in a purchase,,,,
71,Sales Administration,Purchase Control panel,Link parent user with a student,,,,
72,Sales Administration,Purchase Control panel,Generate receipt for a purchase,,,,
73,Sales Administration,Purchase Control panel,Upload receipt for a purchase,,,,
74,Sales Administration,Purchase Control panel,View the price summary of a purchase,,,,
75,Sales Administration,Finance Control Panel,Add deposit,,,,
76,Sales Administration,Finance Control Panel,Edit deposit,,,,
77,Sales Administration,Finance Control Panel,Approve/reject the deposit,,,,
78,Sales Administration,Finance Control Panel,View sales agent account summary,,,,
79,Sales Administration,Courses Configuration page,Add individual course price,,,,
80,Sales Administration,Courses Configuration page,Edit inidvidual course price,,,,
81,Sales Administration,Courses Configuration page,Add discount packages,,,,
82,Sales Administration,Courses Configuration page,Edit discount packages,,,,
83,Sales Administration,Sales Agent Configuration page,Add sales agent,,,,
84,Sales Administration,Sales Agent Configuration page,Delete sales agent,,,,
85,Sales Administration,Sales Agent Configuration page,Edit sales agent,,,,
86,Sales Administration,Sales Agent Configuration page,Add agent category,,,,
87,Sales Administration,Sales Agent Configuration page,Edit agent category,,,,
88,Sales Administration,Receipt Configuration page,Configure clauses for the receipt,,,,
89,Feedback Administration,Feedback Control Panel,View all submited feedback,,,,
90,Feedback Administration,Feedback Control Panel,Apply filtering,,,,
91,Feedback Administration,Feedback Control Panel,Move feedback to in progress,,,,
92,Feedback Administration,Feedback Control Panel,Move feedback to completed,,,,
93,Feedback Administration,Feedback Control Panel,Close a feedback,,,,
94,Feedback Administration,Feedback Control Panel,View feedback details,,,,
95,Feedback Administration,Feedback Control Panel,Assign feedback to a user,,,,
96,Users Administration,Users Control Panel,View the list of the users,,,,
97,Users Administration,Users Control Panel,Assign courses to them,,,,
98,Users Administration,Users Control Panel,Reset password,,,,
99,Users Administration,Users Control Panel,Create users,,,,
100,Users Administration,Users Control Panel,Edit users,,,,
101,Users Administration,Users Control Panel,Apply filter,,,,
102,Courses Administration,School Control Panel,Add School,,,,
103,Courses Administration,School Control Panel,Delete school,,,,
104,Courses Administration,School Control Panel,Edit school,,,,
105,Courses Administration,Grades Control Panel,Add grade,,,,
106,Courses Administration,Grades Control Panel,Edit grade,,,,
107,Courses Administration,Grades Control Panel,Delete grade,,,,
108,Courses Administration,Courses Control Panel,Add course,,,,
109,Courses Administration,Courses Control Panel,Edit course details,,,,
110,Courses Administration,Courses Control Panel,Mark course as trial,,,,
111,Courses Administration,Courses Control Panel,Unmark a course a trial,,,,
112,Courses Administration,Courses Details Control Panel,Add chapter to a course,,,,
113,Courses Administration,Courses Details Control Panel,Edit chapter in a course,,,,
114,Courses Administration,Courses Details Control Panel,Add Lesson to a chapter,,,,
115,Courses Administration,Courses Details Control Panel,Edit lesson in a chapter,,,,
116,Courses Administration,Courses Details Control Panel,Add video to a lesson,,,,
117,Courses Administration,Courses Details Control Panel,Edit video in a lesson,,,,
118,Courses Administration,Courses Details Control Panel,Add text to a lesson,,,,
119,Courses Administration,Courses Details Control Panel,Edit text in a lessoon,,,,
120,Courses Administration,Courses Details Control Panel,Add assignment to a lesson,,,,
121,Courses Administration,Courses Details Control Panel,Edit assignment in a lesson,,,,
122,Courses Administration,Courses Details Control Panel,Add assignment to a chapter,,,,
123,Courses Administration,Courses Details Control Panel,Edit assignment in a chapter,,,,
124,Courses Administration,Courses Details Control Panel,Add quiz to a chapter,,,,
125,Courses Administration,Courses Details Control Panel,Edit quiz in a chapter,,,,
126,Library Administration,Library Control Panel,View listing of books,,,,
127,Library Administration,Library Control Panel,Filter books,,,,
128,Library Administration,Library Control Panel,Add a book,,,,
129,Library Administration,Library Control Panel,Edit a book,,,,
130,Library Administration,Library Control Panel,Publish a book,,,,
131,Library Administration,Library Control Panel,Unpublish a book,,,,
132,Courses Administration,Package Control Panel,View listing of packages,,,,
133,Courses Administration,Package Control Panel,Filter packages,,,,
134,Courses Administration,Package Control Panel,Add a package,,,,
135,Courses Administration,Package Control Panel,Edit a package,,,,
136,Courses Administration,Package Control Panel,Add courses to a package,,,,
137,Courses Administration,Package Control Panel,Delete courses from a package,,,,
138,Additional Services Administration,Additional Service Configuration,Configure prices for the additional services,,,,
139,Pr tax configuration page,Pr tax configuration panel,Configure pr tax for the sales,,,,
140,Privacy policy configuration ,Privancy Policy Configuration Panel,Cofigure privacy policy for the Mobile App,,,,
141,ERP Account Configuration Page,Chart of accounts configuration panel,Configure accounts for purchases,,,,
